%Destination Airport Market ID	Destination Market
30630	"Broomfield, CO"
30631	"Bemidji, MN"
30637	"Bodrum, Turkey"
30638	"Leon/Guanajuato, Mexico"
30640	"Buckland, AK"
30641	"Baker, OR"
30643	"Branson, MO"
30646	"Bangkok, Thailand"
30647	"Cleveland, OH (Metropolitan Area)"
30650	"Bamako, Mali"
30654	"Beckley, WV"
30655	"Brookings, SD"
30658	"Barcelona, Venezuela"
30659	"Balboa, Panama"
30661	"Boulder City, NV"
30663	"Princeton/Bluefield, WV"
30664	"Belaga, Malaysia"
30666	"Bellingham, WA"
30669	"Billund, Denmark"
30670	"Belmar/Farmingdale, NJ"
30673	"Bologna, Italy"
30676	"Belleville, IL"
30683	"Bloomington, IN"
30685	"Bloomington/Normal, IL"
30692	"Big Mountain, AK"
30693	"Nashville, TN"
30696	"Brisbane, Australia"
30710	"Bordeaux, France"
30711	"Bogota, Colombia"
30712	"Bournemouth, United Kingdom"
30713	"Boise, ID"
30714	"Burgas, Bulgaria"
30715	"Brookings, OR"
30716	"Mumbai, India"
30717	"Bonaire, Bonaire, Sint Eustatius, and Saba"
30721	"Boston, MA (Metropolitan Area)"
30728	"Beaumont/Port Arthur, TX"
30730	"London, United Kingdom"
30731	"Brunswick, GA"
30732	"Aguadilla, PR"
30739	"Brainerd, MN"
30740	"Bremen, Germany"
30741	"Whitesburg, KY"
30744	"Burlington, IA"
30745	"Barquisimeto, Venezuela"
30746	"Berne, Switzerland"
30747	"Brownsville, TX"
30750	"Bristol, United Kingdom"
30752	"Brussels, Belgium"
30758	"Brasilia, Brazil"
30762	"Mulhouse, France"
30770	"Bartletts, AK"
30775	"Barter Island, AK"
30778	"Battle Creek, MI"
30779	"Butte, MT"
30780	"Butler, PA"
30781	"Baton Rouge, LA"
30782	"Bratislava, Slovakia"
30783	"Bettles, AK"
30785	"Burlington, VT"
30790	"Budapest, Hungary"
30792	"Buffalo, NY"
30808	"Boa Vista, Brazil"
30809	"Beaver Inlet, AK"
30815	"Beverly, MA"
30817	"Brownwood, TX"
30819	"Bowling Green, KY"
30825	"Blaine, WA"
30838	"Blytheville, AR"
30844	"Blakely Island, WA"
30846	"Belize City, Belize"
30849	"Bozeman, MT"
30852	"Washington, DC (Metropolitan Area)"
30856	"Brize Norton, United Kingdom"
30857	"Camarillo, CA"
30860	"Lake Simcoe, Canada"
30863	"Calgary, Canada"
30867	"Cadillac, MI"
30868	"Columbia, SC"
30870	"Cagliari, Italy"
30872	"Cairo, Egypt"
30877	"Guangzhou, China"
30878	"Cap-Haitien, Haiti"
30879	"Caribou, ME"
30880	"Casablanca, Morocco"
30884	"Cayenne, French Guiana"
30887	"Cochabamba, Bolivia"
30888	"Cumberland, MD"
30890	"Cambridge, United Kingdom"
30894	"Columbus, MS"
30897	"Canberra, Australia"
30911	"Caracas, Venezuela"
30913	"Cordova, AK"
30918	"Cedar City, UT"
30920	"Paris, France"
30923	"Candle, AK"
30925	"Chadron, NE"
30927	"Caldwell, NJ"
30928	"Wichita, KS"
30929	"Cebu, Philippines"
30930	"Crescent City, CA"
30933	"Chicopee Falls, MA"
30938	"Central, AK"
30942	"Cannes, France"
30946	"Connersville, IN"
30947	"Crestview, FL"
30948	"Chena Hot Springs, AK"
30950	"Cortez, CO"
30951	"Coffee Point, AK"
30952	"Cabo Frio, Brazil"
30954	"Cienfuegos, Cuba"
30958	"Clifton, AZ"
30961	"Craig, AK"
30962	"Cuiaba, Brazil"
30966	"Sao Paulo, Brazil"
30967	"Cape Girardeau, MO"
30970	"Cologne/Dusseldorf, Germany"
30975	"College Park, MD"
30977	"Chicago, IL"
30980	"Chattanooga, TN"
30981	"Christchurch, New Zealand"
30982	"Chandler, AZ"
30990	"Charlottesville, VA"
30991	"Circle Hot Springs, AK"
30993	"Chateauroux, France"
30994	"Charleston, SC"
30996	"Chuathbaluk, AK"
30999	"Chiloquin, OR"
31000	"Rome, Italy"
31002	"Chico, CA"
31003	"Cedar Rapids/Iowa City, IA"
31004	"Craig, CO"
31007	"Chalkyitsik, AK"
31008	"Council, AK"
31013	"Sault Ste. Marie, MI"
31014	"Chomley, AK"
31015	"Canouan, Saint Vincent and the Grenadines"
31016	"Chiclayo, Peru"
31024	"Ciudad Juarez, Mexico"
31025	"Jeju, South Korea"
31027	"Clarksburg/Fairmont, WV"
31028	"Crooked Creek, AK"
31032	"Cancun, Mexico"
31035	"Clarksville, TN"
31036	"Chicken, AK"
31037	"Conakry, Guinea"
31041	"Carlsbad, CA"
31043	"Clear, AK"
31044	"Coalinga, CA"
31048	"Clinton, OK"
31049	"College Station/Bryan, TX"
31050	"Port Angeles, WA"
31052	"Cali, Colombia"
31053	"Clarks Point, AK"
31057	"Charlotte, NC"
31058	"Columbus, IN"
31060	"Cunnamulla, Australia"
31063	"Ciudad del Carmen, Mexico"
31066	"Columbus, OH"
31067	"Champaign/Urbana, IL"
31075	"Camaguey, Cuba"
31076	"Hancock/Houghton, MI"
31080	"Constanta, Romania"
31085	"Carlsbad, NM"
31086	"Chino, CA"
31089	"Cairns, Australia"
31092	"Moab, UT"
31093	"Marina, CA"
31095	"Columbia, CA"
31097	"Cody, WY"
31098	"Coeur d'Alene, ID"
31106	"Concord, NH"
31108	"Cordoba, Argentina"
31117	"Campeche, Mexico"
31118	"Copenhagen, Denmark"
31122	"Casper, WY"
31123	"St. Louis, MO"
31124	"Cape Town, South Africa"
31126	"Culebra, PR"
31135	"Myrtle Beach, SC"
31136	"Jacksonville, FL"
31138	"Luzon Island, Philippines"
31140	"Corpus Christi, TX"
31146	"Charleston/Dunbar, WV"
31150	"Columbus, GA"
31159	"Crossville, TN"
31160	"Changsha, China"
31164	"Cartagena, Colombia"
31170	"Sapporo, Japan"
31172	"Chengdu, China"
31179	"Cuneo, Italy"
31180	"Culiacan, Mexico"
31185	"Curacao, Curacao"
31187	"Chihuahua, Mexico"
31196	"Ciudad Victoria, Mexico"
31197	"Clovis, NM"
31198	"Corvallis, OR"
31204	"Curitiba, Brazil"
31205	"Lake Charles, LA"
31208	"Cardiff, United Kingdom"
31214	"Coldfoot, AK"
31215	"Vancouver, Canada"
31216	"Christmas Island, Kiribati"
31219	"Conroe, TX"
31223	"Cat Cay, The Bahamas"
31225	"Cayman Brac, Cayman Islands"
31227	"Chifornak, AK"
31230	"Chatham, AK"
31233	"Cheyenne, WY"
31234	"Cape Yakataga, AK"
31241	"Cape Romanzof, AK"
31244	"Cozumel, Mexico"
31245	"Chisana, AK"
31252	"Daytona Beach, FL"
31254	"Danang, Vietnam"
31267	"Dayton, OH"
31274	"Dubuque, IA"
31276	"Dubrovnik, Croatia"
31279	"Dominica, Dominica"
31280	"Dahl Creek, AK"
31282	"Decatur, AL"
31283	"Dodge City, KS"
31288	"Decatur, IL"
31290	"Delhi, India"
31295	"Detroit, MI"
31299	"Danger Bay, AK"
31301	"Durango, Mexico"
31308	"Dothan, AL"
31315	"Dickinson, ND"
31317	"Diomede Island, AK"
31327	"Delta Junction, AK"
31332	"Dakar, Senegal"
31334	"Dalian, China"
31335	"Del Rio, TX"
31336	"Dillingham, AK"
31337	"Duluth, MN"
31340	"Dalaman, Turkey"
31345	"Moscow, Russia"
31351	"Okinawa, Japan"
31359	"Dalton, GA"
31363	"Danville, IL"
31364	"Danbury, CT"
31367	"Dora Bay, AK"
31369	"Doha, Qatar"
31371	"Deauville, France"
31375	"Dover, DE"
31377	"Dugway, UT"
31391	"Fort Drum, NY"
31396	"Georgetown, KY"
31399	"Whitmore, AZ"
31400	"Boscombe, United Kingdom"
31401	"Ketchikan, AK"
31402	"Haines, AK"
31406	"Platinum, AK"
31410	"Drift River, AK"
31411	"Deering, AK"
31417	"Darwin, Australia"
31418	"Doncaster/Sheffield, United Kingdom"
31419	"La Desirade, Guadeloupe"
31421	"Destin, FL"
31423	"Des Moines, IA"
31425	"Death Valley, CA"
31430	"Denton, TX"
31435	"Dublin, Ireland"
31441	"DuBois, PA"
31445	"Unalaska, AK"
31447	"Devils Lake, ND"
31452	"Davis/Woodland/Winters, CA"
31453	"Houston, TX"
31454	"Orlando, FL"
31455	"Dubai, United Arab Emirates"
31458	"Anadyr, Russia"
31463	"Eagle, AK"
31464	"Noatak, AK"
31468	"Kearney, NE"
31470	"Wenatchee, WA"
31471	"Eau Claire, WI"
31473	"Entebbe/Kampala, Uganda"
31481	"Panama City, FL"
31483	"Rocksprings, TX"
31484	"Edna Bay, AK"
31486	"Edenton, NC"
31488	"Edinburgh, United Kingdom"
31490	"Edwards, CA"
31491	"Needles, CA"
31492	"Eek, AK"
31493	"Keene, NH"
31501	"Chenega, AK"
31503	"Eagle, CO"
31504	"Valparaiso, FL"
31508	"Wellington, KS"
31510	"Eagle River, WI"
31511	"Egegik, AK"
31512	"Cape Newenham, AK"
31517	"Fairbanks, AK"
31518	"Eindhoven, Netherlands"
31523	"Elkhart, IN"
31525	"Elko, NV"
31527	"Bessemer, AL"
31531	"El Dorado, AR"
31534	"North Eleuthera, The Bahamas"
31535	"Elim, AK"
31537	"Elmira/Corning, NY"
31538	"Ellensburg, WA"
31545	"Elfin Cove, AK"
31547	"Ely, NV"
31548	"Derby, United Kingdom"
31550	"Emmonak, AK"
31555	"Kenai, AK"
31557	"Enid, OK"
31559	"Nenana, AK"
31563	"Wendover, UT"
31564	"Kenosha, WI"
31565	"Medellin, Colombia"
31566	"Keokuk, IA"
31567	"Ephrata/Moses Lake, WA"
31577	"Erie, PA"
31584	"Madrid, Spain"
31587	"Escanaba, MI"
31588	"Eastsound, WA"
31592	"Easton, MD"
31603	"Eugene, OR"
31607	"Evenes, Norway"
31612	"Evansville, IN"
31614	"Evreux, France"
31615	"New Bedford/Fall River, MA"
31616	"Newton, KS"
31617	"New Bern/Morehead/Beaufort, NC"
31619	"Excursion Inlet, AK"
31620	"Exeter, United Kingdom"
31621	"Great Exuma, The Bahamas"
31623	"El Yopal, Colombia"
31624	"Key West, FL"
31627	"Murrieta/Temecula, CA"
31628	"Farnborough, United Kingdom"
31632	"False Island, AK"
31636	"Faro, Portugal"
31637	"Fargo, ND"
31638	"Fresno, CA"
31641	"Fayetteville, NC"
31646	"Friday Harbor, WA"
31647	"Oslo, Norway"
31648	"Kalispell, MT"
31650	"Minneapolis/St. Paul, MN"
31654	"Fort de France, Martinique"
31655	"Friedrichshafen, Germany"
31659	"Findlay, OH"
31667	"Fergus Falls, MN"
31669	"Frankfort, KY"
31672	"Fishers Island, NY"
31673	"Fort Huachuca, AZ"
31674	"Fire Cove, AK"
31681	"Karlsruhe/Baden-Baden, Germany"
31684	"Franklin/Oil City, PA"
31695	"Flagstaff, AZ"
31699	"Florence, SC"
31700	"Florence, Italy"
31702	"Flat, AK"
31703	"New York City, NY (Metropolitan Area)"
31709	"Falmouth, MA"
31711	"Farmington, NM"
31712	"Greven, Germany"
31714	"Fort Myers, FL"
31719	"Fort Collins/Loveland, CO"
31720	"Funter Bay Alaska, AK"
31721	"Flint, MI"
31725	"Fort Dodge, IA"
31726	"Topeka, KS"
31728	"Westhampton, NY"
31730	"Fortaleza, Brazil"
31731	"Freeport, The Bahamas"
31732	"Fort Pierce, FL"
31746	"Lakenheath, United Kingdom"
31750	"Dry Bay, AK"
31756	"Fort Glenn, AK"
31760	"Frankfurt, Germany"
31764	"East Farmingdale, NY"
31770	"Flores, Guatemala"
31771	"Bishkek, Kyrgyzstan"
31773	"Fryeburg, ME"
31775	"Sioux Falls, SD"
31778	"Fort Smith, AR"
31781	"Shizuoka, Japan"
31793	"Fukuoka, Japan"
31803	"Wickenburg, AZ"
31806	"Amberley, Australia"
31811	"Aurora, OR"
31813	"Donlin Creek Mine, AK"
31816	"Latacunga, Ecuador"
31820	"Grace Harbor, AK"
31823	"Fort Wayne, IN"
31825	"Farewell, AK"
31833	"Fort Yukon, AK"
31834	"Fayetteville, AR"
31840	"Gadsden, AL"
31841	"Gabes, Tunisia"
31842	"Gaithersburg, MD"
31844	"Galena, AK"
31845	"Gambell, AK"
31847	"Guantanamo, Cuba"
31854	"Suffolk, United Kingdom"
31856	"Great Bend, KS"
31859	"Galbraith Lake, AK"
31862	"Great Barrington, MA"
31865	"Gillette, WY"
31867	"Garden City, KS"
31868	"Grand Cayman, Cayman Islands"
31871	"Greenville/Spartanburg, SC"
31874	"Guadalajara, Mexico"
31876	"Gdansk, Poland"
31878	"Grand Turk, Turks and Caicos Islands"
31879	"Glendive, MT"
31881	"Magadan, Russia"
31883	"Georgetown, DE"
31884	"Spokane, WA"
31885	"Ganes Creek, AK"
31888	"Georgetown, Guyana"
31895	"Great Falls, MT"
31898	"Grand Forks, ND"
31899	"Glens Falls, NY"
31905	"Longview, TX"
31908	"Glasgow, MT"
31910	"Governors Harbour, The Bahamas"
31915	"Rio de Janeiro, Brazil"
31921	"Grand Junction, CO"
31924	"Gulkana, AK"
31928	"Glasgow, United Kingdom"
31931	"Greenville, MS"
31938	"Gaylord, MI"
31941	"Golovin, AK"
31945	"Seoul, South Korea"
31950	"Grenada, Grenada"
31952	"Goodnews Bay, AK"
31953	"Gainesville, FL"
31954	"Genoa, Italy"
31958	"Nizhniy Novgorod, Russia"
31959	"Gold Beach, OR"
31961	"New London/Groton, CT"
31966	"Gothenburg, Sweden"
31973	"Gulfport/Biloxi, MS"
31977	"Green Bay, WI"
31979	"Tacoma, WA"
31980	"Grand Island, NE"
31982	"Killeen, TX"
31986	"Grand Rapids, MI"
31991	"Graz, Austria"
31992	"Goldsboro, NC"
31994	"Goshen, IN"
31995	"Greensboro/High Point, NC"
31997	"Gustavus, AK"
32008	"Georgetown, TX"
32010	"Guatemala City, Guatemala"
32012	"Gunnison, CO"
32016	"Guam, TT"
32018	"Gallup, NM"
32021	"Peru, IN"
32026	"Geneva, Switzerland"
32039	"Greenwood, MS"
32046	"Mildenhall, United Kingdom"
32051	"Guayaquil, Ecuador"
32052	"Guaymas, Mexico"
32061	"Havasupai, AZ"
32064	"Hannover, Germany"
32066	"Hamburg, Germany"
32067	"Hanoi, Vietnam"
32068	"Hamilton, OH"
32070	"Harrisburg, PA"
32073	"Havana, Cuba"
32079	"Hobart Bay, AK"
32083	"Hebbronville, TX"
32086	"Shoal Cove, AK"
32087	"Holy Cross, AK"
32101	"Helsinki, Finland"
32103	"Hermiston, OR"
32105	"Santo Domingo, Dominican Republic"
32115	"Hangzhou, China"
32119	"Hagerstown, MD"
32122	"Hogatza, AK"
32124	"Hilton Head, SC"
32125	"Hahn, Germany"
32126	"Hong Kong, Hong Kong"
32128	"Hiawatha, KS"
32129	"Hibbing, MN"
32131	"Ogden, UT"
32132	"Lake Havasu City, AZ"
32133	"Hiroshima, Japan"
32134	"Honolulu, HI"
32136	"Hillsboro, OR"
32141	"Healy, AK"
32142	"Hakodate, Japan"
32149	"Hickory, NC"
32153	"Wheeling, WV"
32154	"Hollister, CA"
32155	"Holland, MI"
32156	"Helena, MT"
32164	"Hermosillo, Mexico"
32167	"Hanamaki, Japan"
32169	"Tokyo, Japan"
32171	"Hoonah, AK"
32174	"Hana, HI"
32177	"Hobbs, NM"
32180	"Holguin, Cuba"
32185	"Huron, SD"
32187	"Hopkinsville, KY"
32190	"Hot Springs, AR"
32195	"Hooper Bay, AK"
32200	"Hoquiam, WA"
32206	"Harlingen/San Benito, TX"
32207	"Harrison, AR"
32211	"Las Vegas, NV"
32212	"Hastings, NE"
32214	"Huslia, AK"
32216	"Homestead, FL"
32222	"East Hampton, NY"
32223	"Ashland, WV"
32228	"Terre Haute, IN"
32233	"Houma, LA"
32235	"Hughes, AK"
32236	"Hutchinson, KS"
32239	"Santa Cruz/Huatulco, Mexico"
32240	"Humberside, United Kingdom"
32244	"New Haven, CT"
32245	"Havre, MT"
32247	"Hayward, CA"
32250	"Hyannis, MA"
32252	"Hydaburg, AK"
32253	"Hollis, AK"
32255	"Hays, KS"
32260	"Shenandoah, IA"
32262	"Red Oak, IA"
32265	"Niagara Falls, NY"
32268	"Kiana, AK"
32279	"Icy Bay, AK"
32280	"Idaho Falls, ID"
32287	"Kiev, Ukraine"
32294	"Igiugig, AK"
32297	"Kingman, AZ"
32303	"Chapel Hill, NC"
32307	"De Kalb, IL"
32312	"Wilkesboro, NC"
32315	"Nikolski, AK"
32317	"Ankeny, IA"
32320	"Wilmington, DE"
32321	"Iliamna, AK"
32323	"Wilmington, NC"
32324	"Wilmington, OH"
32335	"Iron Mountain/Kingsfd, MI"
32336	"Auburn, IN"
32337	"Indianapolis, IN"
32338	"Yinchuan, China"
32343	"International Falls, MN"
32344	"Innsbruck, Austria"
32347	"Indian Springs, NV"
32348	"Winston-Salem, NC"
32350	"Inverness, United Kingdom"
32358	"Iowa City, IA"
32363	"El Centro, CA"
32365	"Williamsport, PA"
32368	"Iquique, Chile"
32369	"Iquitos, Peru"
32370	"Circle, AK"
32375	"Kirksville, MO"
32378	"Sturgis, MI"
32389	"Williston, ND"
32390	"Kinston, NC"
32393	"Istres, France"
32394	"Wiscasset, ME"
32395	"Istanbul, Turkey"
32397	"Ithaca/Cortland, NY"
32400	"Osaka, Japan"
32402	"Hilo, HI"
32412	"Ironwood, MI"
32414	"Iwoto, Japan"
32436	"Inyokern, CA"
32441	"Jackson, WY"
32444	"Jaipur, India"
32448	"Jackson/Vicksburg, MS"
32455	"Jonesboro, AR"
32457	"San Francisco, CA (Metropolitan Area)"
32462	"John Day, OR"
32467	"Miami, FL (Metropolitan Area)"
32472	"Jeddah, Saudi Arabia"
32474	"Jefferson City/Columbia, MO"
32492	"Lahaina, HI"
32494	"Jamestown, NY"
32511	"Joplin, MO"
32516	"Mikonos Island, Greece"
32518	"Mankato, MN"
32519	"Jamestown, ND"
32520	"Johannesburg, South Africa"
32523	"Juneau, AK"
32526	"Azraq, Jordan"
32538	"Iwakuni, Japan"
32544	"Cabarrus, NC"
32547	"Rochester, MN"
32549	"Kapolei, HI"
32556	"St. Cloud, MN"
32559	"Johnstown, PA"
32571	"Beloit/Janesville, WI"
32575	"Los Angeles, CA (Metropolitan Area)"
32576	"Jackson, MI"
32587	"Portland, TN"
32590	"San Clemente Island, CA"
32591	"Hog River, AK"
32598	"Arlington, TX"
32599	"Bennington, VT"
32600	"Little Rock, AR"
32610	"Kake, AK"
32615	"Kaltag, AK"
32621	"Birch Creek, AK"
32622	"Bell Island, AK"
32625	"Kabul, Afghanistan"
32631	"Chignik, AK"
32633	"Coffman Cove, AK"
32639	"Chernofski, AK"
32642	"Colorado Creek, AK"
32644	"Kochi, Japan"
32645	"Kandahar, Afghanistan"
32649	"Nanwalek, AK"
32651	"Reykjavik, Iceland"
32653	"Ekwok, AK"
32661	"Key Largo, FL"
32663	"False Pass, AK"
32671	"Koliganek, AK"
32676	"Grayling, AK"
32680	"Kaohsiung, Taiwan"
32681	"Karachi, Pakistan"
32685	"Khabarovsk, Russia"
32690	"Niigata, Japan"
32693	"Kingston, Jamaica"
32704	"Koyuk, AK"
32705	"Kitoi Bay, AK"
32708	"Kongiganak, AK"
32709	"Akiachak, AK"
32710	"Kitakyushu, Japan"
32711	"Kalakaket, AK"
32716	"Ekuk, AK"
32719	"Kalskag, AK"
32720	"Levelock, AK"
32721	"Larsen Bay, AK"
32735	"Kumamoto, Japan"
32737	"Manokotak, AK"
32739	"Komatsu, Japan"
32742	"Khamis Mushait, Saudi Arabia"
32743	"Moser Bay, AK"
32745	"Kanab, UT"
32748	"Kokhanok, AK"
32755	"New Stuyahok, AK"
32758	"Kona, HI"
32763	"Kagoshima, Japan"
32764	"Kokkola/Pietarsaari, Finland"
32769	"Kotlik, AK"
32771	"Olga Bay, AK"
32772	"Ouzinkie, AK"
32773	"Point Baker, AK"
32774	"Port Clarence, AK"
32778	"Napamute, AK"
32779	"Kipnuk, AK"
32782	"Port Williams, AK"
32784	"Perryville, AK"
32785	"Port Bailey, AK"
32786	"Akutan, AK"
32789	"Krakow, Poland"
32798	"Kosrae, Federated States of Micronesia"
32807	"St. Mary's, AK"
32815	"Thorne Bay, AK"
32822	"Brevig Mission, AK"
32824	"Katowice, Poland"
32831	"Kasigluk, AK"
32832	"Kuala Lumpur, Malaysia"
32836	"Gunsan, South Korea"
32841	"King Cove, AK"
32844	"Kivalina, AK"
32845	"Kwajalein, Marshall Islands"
32847	"Waterfall, AK"
32849	"Kuwait, Kuwait"
32851	"Kwigillingok, AK"
32853	"Quinhagak, AK"
32854	"West Point, AK"
32855	"Kwethluk, AK"
32857	"Kasaan, AK"
32859	"Danville, KY"
32861	"Mount Sterling, KY"
32866	"Karluk, AK"
32868	"Koyukuk, AK"
32869	"Zachar Bay, AK"
32872	"Kazan, Russia"
32873	"Lamar, CO"
32876	"Luanda, Angola"
32878	"Lafayette, IN"
32883	"Los Alamos, NM"
32884	"Lansing, MI"
32886	"La Paz, Mexico"
32888	"Laramie, WY"
32891	"Lawton/Fort Sill, OK"
32895	"Leeds/Bradford, United Kingdom"
32896	"Lubbock, TX"
